,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
13681,Alouatta palliata,species,Mantled Howler Monkey,10,-85.519028,11.476754,North America,Nicaragua,Nicaragua,2012-11-28,20:12
13682,Alouatta palliata,species,Mantled Howler Monkey,1,-85.522398,11.480024,North America,Nicaragua,Nicaragua,2012-11-26,16:32
17152,Egretta thula,species,Snowy Egret,20,-85.543112,11.493308,North America,Nicaragua,Nicaragua,2012-11-27,12:59
17153,Egretta tricolor,species,Tricolored Heron,1,-85.543281,11.493308,North America,Nicaragua,Nicaragua,2012-11-27,12:40
17154,Calocitta formosa,species,White-throated Magpie-Jay,5,-85.522475,11.479968,North America,Nicaragua,Nicaragua,2012-11-26,16:28
17155,Calocitta formosa,species,White-throated Magpie-Jay,5,-85.554511,11.512303,North America,Nicaragua,Nicaragua,2012-11-26,13:56
17156,Calocitta formosa,species,White-throated Magpie-Jay,3,-86.27,12.057,North America,Nicaragua,Nicaragua,2012-11-26,06:58
29636,Coragyps atratus,species,Black Vulture,1,-86.269999,12.056434,North America,Nicaragua,Nicaragua,2012-11-21,16:09
29637,Tyrannus melancholicus,species,Tropical Kingbird,1,-86.270098,12.056377,North America,Nicaragua,Nicaragua,2012-11-21,16:06
29638,Tyto furcata,species,American Barn Owl,2,-87.632698,12.865031,North America,Nicaragua,Nicaragua,2012-11-24,11:35
29639,Tyrannus melancholicus,species,Tropical Kingbird,1,-86.27,12.057,North America,Nicaragua,Nicaragua,2012-11-22,17:03
29640,Campylorhynchus capistratus capistratus,subspecies,Rufous-backed Wren ssp capistratus,3,-86.27,12.057,North America,Nicaragua,Nicaragua,2012-11-22,07:41
105909,Cathartes aura,species,Turkey Vulture,10,-85.9570465088,11.9358446812,North America,Nicaragua,Nicaragua,2012-02-06,
105917,Alouatta palliata,species,Mantled Howler Monkey,20,-85.6137237549,11.5324680965,North America,Nicaragua,Nicaragua,2012-02-04,
105918,Calocitta formosa,species,White-throated Magpie-Jay,30,-85.4928741455,11.4409547096,North America,Nicaragua,Nicaragua,2012-02-04,
109888,Ardea herodias,species,Great Blue Heron,10,-84.8872528076,11.0833675323,North America,Nicaragua,Nicaragua,2012-02-03,
109890,Eudocimus albus,species,American White Ibis,30,-84.8872528076,11.0833675323,North America,Nicaragua,Nicaragua,2012-02-03,
109893,Coragyps atratus,species,Black Vulture,50,-84.8872528076,11.0833675323,North America,Nicaragua,Nicaragua,2012-02-03,
109897,Platalea ajaja,species,Roseate Spoonbill,50,-84.8872528076,11.0833675323,North America,Nicaragua,Nicaragua,2012-02-03,
109942,Eudocimus albus,species,American White Ibis,1,-85.010848999,11.1729742936,North America,Nicaragua,Nicaragua,2012-02-03,
110330,Eudocimus albus,species,American White Ibis,3,-84.989906311,11.1722796105,North America,Nicaragua,Nicaragua,2012-02-02,
