,scientificName,taxonRank,vernacularName,individualCount,longitudeDecimal,latitudeDecimal,continent,country,locality,eventDate,eventTime
119045,Plecturocebus donacophilus,species,Bolivian Grey Titi Monkey,1,-63.0696,-17.7727,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2016-11-15,10:49
119048,Knipolegus aterrimus,species,White-winged Black Tyrant,1,-66.218,-17.4023,South America,Bolivia,Bolivia - Colcapirhua (Cochabamba),2016-11-18,15:29
119049,Zonotrichia capensis,species,Rufous-collared Sparrow,1,-66.2173,-17.4005,South America,Bolivia,Bolivia - Colcapirhua (Cochabamba),2016-11-18,15:21
119050,Knipolegus aterrimus,species,White-winged Black Tyrant,1,-66.1304,-17.4094,South America,Bolivia,Bolivia - Cochabamba - Laguna Alalay,2016-11-17,17:13
119051,Zonotrichia capensis,species,Rufous-collared Sparrow,1,-66.1524,-17.3707,South America,Bolivia,Bolivia - Cochabamba (Cochabamba),2016-11-17,10:41
119052,Zonotrichia capensis,species,Rufous-collared Sparrow,1,-66.2191,-17.3988,South America,Bolivia,Bolivia - Colcapirhua (Cochabamba),2016-11-16,16:28
119053,Colaptes melanochloros,species,Green-barred Woodpecker,1,-66.2178,-17.4061,South America,Bolivia,Bolivia - Colcapirhua (Cochabamba),2016-11-16,18:36
119055,Chloroceryle amazona,species,Amazon Kingfisher,1,-63.0696,-17.7658,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2016-11-15,16:50
119056,Bubulcus ibis,species,Western Cattle Egret,1,-63.0694,-17.7672,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2016-11-15,15:41
119057,Trogon curucui,species,Blue-crowned Trogon,1,-63.0691,-17.768,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2016-11-15,15:35
119058,Momotus momota,species,Amazonian Motmot,1,-63.069,-17.7674,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2016-11-15,10:09
119059,Nycticorax nycticorax,species,Black-crowned Night Heron,2,-63.0707,-17.7664,South America,Bolivia,Bolivia - Santa Cruz de la Sierra (Santa Cruz),2016-11-15,09:48
